,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
56,Sabang,5.8933,95.3214,81.86,77,100,20.0,ID,1662414547
57,Punta Arenas,-53.15,-70.9167,37.51,81,75,21.85,CL,1662414464
58,Samarai,-10.6167,150.6667,81.68,77,3,9.98,PG,1662414549
59,Padang,-0.9492,100.3543,76.44,85,97,2.8,ID,1662414549
60,Muhafazat Lahij,13.1667,44.5833,88.59,56,13,3.36,YE,1662414550
61,Port Elizabeth,-33.918,25.5701,59.29,65,0,20.71,ZA,1662414321
62,La Palma,33.8464,-118.0467,109.96,52,20,8.05,US,1662414550
63,Saint-Philippe,-21.3585,55.7679,69.39,78,59,14.36,RE,1662414551
64,Saint Paul Harbor,57.79,-152.4072,56.71,72,100,4.61,US,1662414551
65,Provideniya,64.3833,-173.3,48.36,100,100,11.18,RU,1662414552
66,Saint George,37.1041,-113.5841,108.43,13,0,5.01,US,1662414552
67,Santa Luzia,-19.7697,-43.8514,70.7,67,0,11.5,BR,1662414553
68,Kenai,60.5544,-151.2583,59.09,81,20,5.75,US,1662414553
69,Vila Franca do Campo,37.7167,-25.4333,70.21,81,84,3.42,PT,1662414554
70,Raudeberg,61.9875,5.1352,54.27,36,56,10.25,NO,1662414554
71,Betioky,-23.7167,44.3833,63.97,62,0,2.37,MG,1662414555
72,Guarapari,-20.6667,-40.4975,67.89,73,100,5.44,BR,1662414555
73,Ribeira Grande,38.5167,-28.7,74.28,81,100,6.73,PT,1662414556
74,Grand Gaube,-20.0064,57.6608,70.2,79,3,5.99,MU,1662414557
75,Carahue,-38.7,-73.1667,53.82,75,98,1.86,CL,1662414557
76,Iqaluit,63.7506,-68.5145,38.93,87,75,10.36,CA,1662414558
77,Krasnosel'kup,65.7,82.4667,41.76,93,100,13.96,RU,1662414558
78,Thompson,55.7435,-97.8558,82.56,44,20,6.91,CA,1662414472
79,Goderich,43.7501,-81.7165,72.91,78,100,8.05,CA,1662414559
80,Mareeba,-17.0,145.4333,66.92,85,8,2.71,AU,1662414560
81,Lumberton,34.6182,-79.0086,80.46,94,100,0.0,US,1662414560
82,Mar del Plata,-38.0023,-57.5575,71.62,33,0,10.36,AR,1662414561
83,Paraguaçu Paulista,-22.4128,-50.5758,69.4,50,92,8.1,BR,1662414561
84,Avarua,-21.2078,-159.775,77.05,78,100,17.27,CK,1662414562
85,Kapaa,22.0752,-159.319,85.98,67,40,11.5,US,1662414012
86,Ust-Nera,64.5667,143.2,46.96,50,92,4.29,RU,1662414562
87,New Norfolk,-42.7826,147.0587,42.3,88,100,1.5,AU,1662414563
88,Chui,-33.6971,-53.4616,51.69,76,0,5.79,UY,1662414563
89,George Town,5.4112,100.3354,79.9,96,20,3.44,MY,1662414564
90,Hermanus,-34.4187,19.2345,52.81,79,68,11.52,ZA,1662414564
91,Darhan,49.4867,105.9228,48.52,58,48,5.37,MN,1662414564
92,Ganzhou,28.8184,115.4327,70.74,61,6,3.13,CN,1662414565
93,Clyde River,70.4692,-68.5914,39.43,93,100,6.91,CA,1662414566
94,Kumul,42.8,93.45,73.92,17,0,6.93,CN,1662414566
95,Tenabo,20.05,-90.2333,86.23,59,89,4.94,MX,1662414567
96,Kimbe,-5.5502,150.1429,80.55,74,93,3.44,PG,1662414567
97,Arenápolis,-14.4503,-56.8461,88.5,26,100,3.33,BR,1662414567
98,Lebu,-37.6167,-73.65,52.2,78,100,6.04,CL,1662414568
99,Abhā,18.2164,42.5053,66.02,77,0,3.44,SA,1662414568
100,Nekrasovka,48.3525,135.2325,60.82,93,100,4.47,RU,1662414569
101,Bandarbeyla,9.4942,50.8122,76.39,80,64,26.96,SO,1662414570
102,Fortuna,40.5982,-124.1573,74.93,72,15,3.0,US,1662414570
103,Arraial do Cabo,-22.9661,-42.0278,67.96,64,100,9.22,BR,1662414571
104,Puerto Ayora,-0.7393,-90.3518,80.56,90,95,5.99,EC,1662414563
105,Sangar,63.9242,127.4739,43.77,92,100,14.65,RU,1662414571
106,Hambantota,6.1241,81.1185,77.34,100,40,9.22,LK,1662414571
107,Hofn,64.2539,-15.2082,52.79,79,78,10.38,IS,1662414572
108,Turochak,52.2576,87.1224,51.39,80,86,2.68,RU,1662414572
109,Bereda,43.2686,-7.5406,63.41,84,29,7.78,ES,1662414573
110,Kiryat Gat,31.61,34.7642,77.68,78,0,2.37,IL,1662414573
111,Hobart,-42.8794,147.3294,42.66,91,75,10.36,AU,1662414304
112,Akranes,64.3218,-22.0749,51.85,79,100,5.73,IS,1662414574
113,Qaanaaq,77.484,-69.3632,42.48,93,100,1.14,GL,1662414574
114,Sarakhs,36.5449,61.1577,78.01,16,0,8.68,IR,1662414575
115,Yellowknife,62.456,-114.3525,59.52,67,75,10.36,CA,1662414575
116,Regina,50.4501,-104.6178,93.18,15,0,28.77,CA,1662414325
117,Dikson,73.5069,80.5464,35.71,77,100,22.82,RU,1662414576
118,North Myrtle Beach,33.816,-78.68,84.06,83,100,8.05,US,1662414311
119,Lüderitz,-26.6481,15.1594,56.64,60,0,22.24,NA,1662414576
120,Saint-Augustin,51.226,-58.6502,55.53,76,86,10.38,CA,1662414577
121,Taltal,-25.4,-70.4833,64.94,55,17,5.03,CL,1662414577
122,Khatanga,71.9667,102.5,41.85,90,100,8.25,RU,1662414578
123,Saint-Pierre,-21.3393,55.4781,69.48,79,0,12.66,RE,1662414578
124,Sibolga,1.7427,98.7792,75.81,87,100,3.11,ID,1662414579
125,Szczytno,53.5626,20.9875,46.33,76,0,3.44,PL,1662414579
126,Hilo,19.7297,-155.09,87.28,77,100,4.61,US,1662414579
127,Madera,37.1666,-119.8343,112.51,16,27,4.0,US,1662414580
128,Port Hedland,-20.3167,118.5667,59.05,88,0,8.05,AU,1662414580
129,Jamestown,42.097,-79.2353,69.94,73,100,8.05,US,1662414580
130,Calabozo,8.9242,-67.4293,77.07,88,100,4.07,VE,1662414581
131,Boysun,38.2061,67.1986,68.13,20,0,4.85,UZ,1662414581
132,Sinnamary,5.3833,-52.95,80.6,82,82,14.79,GF,1662414582
133,Basco,20.4487,121.9702,83.75,80,100,11.68,PH,1662414582
134,Tasiilaq,65.6145,-37.6368,42.96,96,95,6.33,GL,1662414582
135,Bambous Virieux,-20.3428,57.7575,70.05,78,75,12.66,MU,1662414583
136,Tiksi,71.6872,128.8694,42.24,64,100,17.45,RU,1662414583
137,Bontang,0.1333,117.5,72.73,94,100,7.67,ID,1662414584
138,Ust-Kuyga,70.0167,135.6,43.56,63,43,3.6,RU,1662414584
139,Calama,-22.4667,-68.9333,68.49,3,0,13.8,CL,1662414551
140,Grindavik,63.8424,-22.4338,51.75,93,0,10.36,IS,1662414585
141,Sørland,67.667,12.6934,49.86,70,100,12.17,NO,1662414585
142,Lodwar,3.1191,35.5973,82.85,51,28,12.44,KE,1662414586
143,Henties Bay,-22.116,14.2845,53.87,90,0,8.46,NA,1662414586
144,Taminango,1.5749,-77.2867,78.01,33,75,10.36,CO,1662414587
145,Srednekolymsk,67.45,153.6833,43.3,66,85,7.38,RU,1662414587
146,Okha,53.5739,142.9478,55.49,94,100,12.39,RU,1662414588
147,Hong Kong,22.2855,114.1577,87.19,64,74,5.14,HK,1662414326
148,Bredasdorp,-34.5322,20.0403,47.16,85,21,8.9,ZA,1662414588
149,Witu,-2.3889,40.4382,73.56,81,71,10.6,KE,1662414588
150,Lorengau,-2.0226,147.2712,83.12,65,99,7.94,PG,1662414589
151,Ilulissat,69.2167,-51.1,41.02,93,100,4.61,GL,1662414589
152,Waipawa,-41.4122,175.5153,42.76,53,98,15.14,NZ,1662414590
153,Saskylakh,71.9167,114.0833,42.28,65,100,15.55,RU,1662414590
154,Tres Arroyos,-38.3739,-60.2798,61.47,35,0,9.93,AR,1662414591
155,Cabedelo,-6.9811,-34.8339,72.27,88,20,14.63,BR,1662414591
156,Norman Wells,65.282,-126.8329,46.44,87,100,16.11,CA,1662414592
157,Ryōtsu-minato,38.0833,138.4333,76.87,80,93,9.01,JP,1662414592
158,Ilebo,-4.3167,20.5833,72.73,89,18,0.87,CD,1662414593
159,Santa Maria,-29.6842,-53.8069,61.9,67,0,5.75,BR,1662414593
160,Pisco,-13.7,-76.2167,62.65,77,20,11.5,PE,1662414593
161,Mattru,7.6244,-11.8332,73.9,98,100,2.71,SL,1662414594
162,Pevek,69.7008,170.3133,34.52,79,99,6.53,RU,1662414594
163,Prince Rupert,54.3161,-130.3201,62.69,76,0,11.5,CA,1662414595
164,Chokurdakh,70.6333,147.9167,42.78,66,100,8.59,RU,1662414595
165,Le Vauclin,14.5452,-60.8388,78.85,89,75,4.61,MQ,1662414596
166,Bethel,41.3712,-73.414,77.76,87,100,3.44,US,1662414596
167,Kovdor,67.5662,30.4758,42.8,89,100,12.37,RU,1662414596
168,Kaeo,-35.1,173.7833,57.33,73,43,7.29,NZ,1662414597
169,Broome,42.2506,-75.833,71.85,97,100,5.01,US,1662414597
170,Quang Ngai,15.1167,108.8,76.17,91,100,5.21,VN,1662414528
171,Złotów,53.3635,17.0408,51.15,65,27,9.31,PL,1662414597
172,Tacoronte,28.4769,-16.4102,69.15,86,20,10.36,ES,1662414598
173,Hualmay,-11.0964,-77.6139,64.47,72,12,8.41,PE,1662414598
174,Bloomfield,40.8068,-74.1854,84.49,61,20,11.5,US,1662413977
175,Lompoc,34.6391,-120.4579,89.58,50,0,14.97,US,1662414599
176,Laguna,38.421,-121.4238,113.29,13,0,16.11,US,1662414599
177,Port Hardy,50.6996,-127.4199,57.38,88,75,3.44,CA,1662414600
178,Ōdachō-ōda,35.1833,132.5,84.97,78,100,37.29,JP,1662414600
179,Fairbanks,64.8378,-147.7164,60.3,70,0,5.75,US,1662414601
180,Praia da Vitória,38.7333,-27.0667,73.76,83,40,2.8,PT,1662414601
181,Escanaba,45.7453,-87.0646,72.52,55,0,10.36,US,1662414602
182,Karratha,-20.7377,116.8463,63.55,56,0,10.0,AU,1662414602
183,Coyhaique,-45.5752,-72.0662,55.35,41,75,10.36,CL,1662414572
184,Lanzhou,36.0564,103.7922,63.25,36,0,4.07,CN,1662414603
185,Kadoma,34.7333,135.5833,85.98,65,100,9.22,JP,1662414604
186,Kudahuvadhoo,2.6708,72.8944,82.31,74,100,20.69,MV,1662414604
187,Aklavik,68.2191,-135.0107,40.35,74,100,21.72,CA,1662414605
188,Bilibino,68.0546,166.4372,35.78,82,100,4.74,RU,1662414606
189,Xixiang,35.1628,112.865,71.28,50,0,4.72,CN,1662414606
190,Gouyave,12.1646,-61.7296,83.17,79,20,14.97,GD,1662414607
191,Marsh Harbour,26.5412,-77.0636,84.61,68,85,5.23,BS,1662414607
192,Estepona,36.4276,-5.1459,78.58,53,89,7.56,ES,1662414608
193,Asău,46.4333,26.4,51.28,71,91,2.66,RO,1662414609
194,Toora-Khem,52.4675,96.11,45.12,94,93,0.13,RU,1662414609
195,Geraldton,-28.7667,114.6,57.61,77,40,12.66,AU,1662414610
196,Quryq,43.2,51.65,66.78,65,9,18.01,KZ,1662414610
197,Pyaozerskiy,65.8333,31.1667,47.21,81,100,9.42,RU,1662414611
198,Huicheng,23.0385,116.2899,79.05,71,100,1.92,CN,1662414611
199,Nanortalik,60.1432,-45.2371,43.39,96,100,7.54,GL,1662414612
200,Nome,64.5011,-165.4064,49.15,93,100,6.91,US,1662414613
201,Homer,59.6425,-151.5483,61.03,75,0,8.99,US,1662414613
202,Jalingo,8.8833,11.3667,73.31,97,92,2.13,NG,1662414614
203,Kaitangata,-46.2817,169.8464,38.86,77,81,10.31,NZ,1662414614
204,Montgomery,39.1501,-77.1997,82.62,80,40,5.08,US,1662414614
205,Cayenne,4.9333,-52.3333,82.44,78,72,8.05,GF,1662414616
206,Bukama,-9.2,25.85,77.83,28,0,2.01,CD,1662414616
207,Fukuechō,32.6881,128.8419,78.49,88,100,33.17,JP,1662414618
208,Upernavik,72.7868,-56.1549,41.65,85,100,31.45,GL,1662414618
209,Margate,51.3813,1.3862,67.89,90,90,4.0,GB,1662414540
210,Kahului,20.8947,-156.47,82.42,76,75,20.71,US,1662414619
211,Emerald,-23.5333,148.1667,58.33,79,35,12.17,AU,1662414619
212,Kīhei,20.785,-156.4656,82.42,78,75,20.71,US,1662414620
213,Hithadhoo,-0.6,73.0833,81.5,74,100,18.21,MV,1662414620
214,Mocajuba,-2.5842,-49.5072,82.06,64,51,3.96,BR,1662414503
215,Casper,42.8666,-106.3131,95.72,11,0,10.36,US,1662414604
216,Tarko-Sale,64.9225,77.785,40.8,92,100,17.72,RU,1662414621
217,Pleasanton,37.6624,-121.8747,113.99,17,0,4.61,US,1662414351
218,Nishihara,26.1842,127.7558,82.06,94,75,17.27,JP,1662414621
219,Broken Hill,-31.95,141.4333,49.93,61,7,7.83,AU,1662414449
220,Rodolfo Sánchez Taboada,31.7167,-116.5667,82.09,74,25,5.01,MX,1662414623
221,Cairns,-16.9167,145.7667,71.55,79,40,8.05,AU,1662414623
222,Narsaq,60.9167,-46.05,47.05,90,100,4.0,GL,1662414624
223,Lavrentiya,65.5833,-171.0,43.48,98,100,6.85,RU,1662414624
224,São João da Barra,-21.6403,-41.0511,69.89,66,94,9.08,BR,1662414625
225,Lipetsk,52.6031,39.5708,43.81,83,93,7.72,RU,1662414626
226,Norsup,-16.0667,167.3833,80.92,77,76,8.39,VU,1662414626
227,Roebourne,-20.7833,117.1333,63.81,50,0,9.8,AU,1662414627
228,Tautira,-17.7333,-149.15,77.02,79,25,15.37,PF,1662414627
229,Inírida,3.8653,-67.9239,76.98,89,99,2.8,CO,1662414628
230,Hauterive,46.0901,3.4459,72.36,82,97,3.94,FR,1662414629
231,Bima,-8.4667,118.7167,74.07,95,100,3.85,ID,1662414629
232,Airai,-8.9266,125.4092,56.08,68,84,2.21,TL,1662414630
233,Chāndbāli,20.7833,86.7667,82.11,79,85,5.99,IN,1662414630
234,Minot,48.2325,-101.2963,93.42,26,0,9.22,US,1662413827
235,Baie-Comeau,49.2168,-68.1489,56.88,62,0,5.75,CA,1662414631
236,Palmer,42.1584,-72.3287,70.97,82,100,5.75,US,1662414380
237,Yanam,16.7333,82.2167,78.13,93,9,3.89,IN,1662414632
238,Campoverde,-8.4753,-74.8058,87.49,34,10,3.13,PE,1662414633
239,Nikolskoye,59.7035,30.7861,45.88,77,49,3.31,RU,1662414633
240,Liverpool,53.4106,-2.9779,64.94,87,75,8.05,GB,1662414464
241,Te Anau,-45.4167,167.7167,35.22,87,85,1.3,NZ,1662414634
242,Beringovskiy,63.05,179.3167,42.62,66,99,14.25,RU,1662414634
243,Vostok,46.4856,135.8833,55.72,99,100,2.93,RU,1662414635
244,Lagoa,39.05,-27.9833,72.46,70,100,5.21,PT,1662414635
245,Saldanha,-33.0117,17.9442,48.25,73,81,1.79,ZA,1662414636
246,Stokmarknes,68.5646,14.9108,48.16,93,100,10.36,NO,1662414636
247,Faya,18.3851,42.4509,66.31,53,96,2.62,SA,1662414636
248,Karlskrona,56.1616,15.5866,52.25,73,26,7.81,SE,1662414637
249,Pacific Grove,36.6177,-121.9166,100.35,60,0,8.99,US,1662414612
250,Shafranovo,53.9667,54.7667,40.77,87,52,5.84,RU,1662414637
251,Damietta,31.4165,31.8133,80.49,79,0,11.07,EG,1662414638
252,Grão Mogol,-16.5594,-42.8897,62.89,78,38,8.23,BR,1662414638
253,Northam,51.0333,-4.2167,60.62,90,75,11.97,GB,1662414639
254,Bartica,6.4,-58.6167,82.72,93,93,3.76,GY,1662414639
255,Leninsk,48.7119,45.1994,56.55,43,98,6.29,RU,1662414640
256,Bonthe,7.5264,-12.505,76.78,89,100,6.15,SL,1662414640
257,Nísia Floresta,-6.0911,-35.2086,79.18,87,49,11.1,BR,1662414641
258,Aykhal,66.0,111.5,37.8,99,100,5.64,RU,1662414641
259,Ponta Delgada,37.7333,-25.6667,70.52,83,20,4.61,PT,1662414642
260,Mehamn,71.0357,27.8492,46.35,87,75,12.66,NO,1662414642
261,Zhigansk,66.7697,123.3711,40.96,81,99,15.03,RU,1662414643
262,Raton,36.9034,-104.4391,90.21,15,0,18.41,US,1662414643
263,Torbay,47.6666,-52.7314,64.76,87,75,6.91,CA,1662414644
264,Ban Dung,17.699,103.2596,79.11,99,27,5.68,TH,1662414644
265,Los Llanos de Aridane,28.6585,-17.9182,69.55,93,75,12.66,ES,1662414645
266,Taksimo,56.3444,114.8794,43.02,91,98,1.72,RU,1662414645
267,Cardston,49.2,-113.3019,80.89,18,3,16.11,CA,1662414646
268,Katsuura,35.1333,140.3,80.6,78,20,6.17,JP,1662414646
269,Tocopilla,-22.092,-70.1979,65.82,61,12,6.42,CL,1662414647
270,Byron Bay,-28.65,153.6167,55.94,83,99,10.56,AU,1662414155
271,Muravlenko,63.7898,74.523,39.81,90,100,15.55,RU,1662414647
272,Dromolaxia,34.8761,33.586,80.73,89,0,2.3,CY,1662414648
273,Arrondissement de Beaune,47.0833,4.75,65.84,93,35,4.59,FR,1662414649
274,Ayagoz,47.9714,80.4392,65.16,37,0,7.36,KZ,1662414649
275,Terney,45.0503,136.6092,62.96,99,100,8.3,RU,1662414649
276,Berlevåg,70.8578,29.0864,46.4,87,100,21.85,NO,1662414650
277,Dingle,10.9995,122.6711,75.51,96,100,5.3,PH,1662414650
278,Baykit,61.67,96.37,41.95,91,98,7.0,RU,1662414651
279,Bani Walid,31.7566,13.9942,79.48,60,0,6.51,LY,1662414651
280,Lucapa,-8.4192,20.7447,72.28,65,29,3.4,AO,1662414651
281,Catuday,16.2923,119.8062,78.17,82,100,7.45,PH,1662414652
282,Davila,18.4726,120.5763,76.98,78,100,9.06,PH,1662414652
283,Rosetta,31.4044,30.4164,78.26,76,0,13.67,EG,1662414653
284,Ayan,56.45,138.1667,52.2,87,99,14.14,RU,1662414653
285,Cidreira,-30.1811,-50.2056,60.04,82,80,16.04,BR,1662414654
286,Marawi,7.9986,124.2928,68.23,93,97,3.15,PH,1662414654
287,Forrest City,35.0081,-90.7898,88.43,45,30,3.58,US,1662414654
288,Mildura,-34.2,142.15,50.63,61,99,4.32,AU,1662414579
289,Erzin,36.9559,36.2,76.84,87,41,2.33,TR,1662414655
290,Tsimmerbude,54.675,20.1347,53.96,77,0,3.18,RU,1662414655
291,Mahon,39.8885,4.2658,79.36,94,40,5.75,ES,1662414656
292,Kokkola,63.8385,23.1307,50.94,95,0,6.91,FI,1662414656
293,Srīvardhan,18.0333,73.0167,80.01,86,70,7.09,IN,1662414657
294,Dalbandin,28.8947,64.4101,81.84,9,0,1.77,PK,1662414657
295,Vătava,46.9667,24.7667,49.93,87,36,5.44,RO,1662414657
296,Cherskiy,68.75,161.3,41.85,75,100,10.11,RU,1662414658
297,Nuuk,64.1835,-51.7216,41.88,81,100,15.01,GL,1662414658
298,Warrensburg,38.7628,-93.7361,78.87,68,100,6.91,US,1662414644
299,Saquarema,-22.92,-42.5103,68.14,67,95,10.69,BR,1662414659
300,Belaya Gora,68.5333,146.4167,45.23,54,85,10.58,RU,1662414659
301,Erenhot,43.6475,111.9767,50.45,63,29,7.23,CN,1662414659
302,Guane,22.2025,-84.0875,84.43,69,71,7.47,CU,1662414660
303,Segezha,63.7415,34.3222,46.63,91,100,9.89,RU,1662414660
304,Coos Bay,43.3665,-124.2179,83.98,67,0,25.32,US,1662414661
305,Emba,48.8264,58.1442,59.79,56,100,10.78,KZ,1662414661
306,Tura,25.5198,90.2201,73.65,94,95,3.36,IN,1662414662
307,Sitka,57.0531,-135.33,55.29,82,75,5.75,US,1662414662
308,Ballina,-28.8667,153.5667,56.01,85,100,9.8,AU,1662414662
309,Gornyy,55.1153,83.9059,54.75,43,99,2.84,RU,1662414663
310,Carnarvon,-24.8667,113.6333,62.4,59,82,12.82,AU,1662414663
311,Sarkand,45.41,79.9186,69.98,23,0,7.81,KZ,1662414664
312,Urucará,-2.5364,-57.76,86.18,42,56,1.86,BR,1662414664
313,Port Macquarie,-31.4333,152.9167,53.89,73,96,7.45,AU,1662414665
314,Lishui,28.4604,119.9103,68.97,85,22,0.13,CN,1662414665
315,Ahipara,-35.1667,173.1667,54.72,63,29,14.56,NZ,1662414665
316,Ostrovnoy,68.0531,39.5131,44.28,92,100,22.37,RU,1662414666
317,Vegachí,6.7614,-74.7947,77.25,63,66,3.76,CO,1662414666
318,Nador,35.174,-2.9287,77.25,57,0,1.14,MA,1662414667
319,Guerrero Negro,27.9769,-114.0611,82.24,70,12,16.08,MX,1662414667
320,Redmond,47.674,-122.1215,77.86,50,9,3.0,US,1662414453
321,Canutama,-6.5339,-64.3831,89.31,28,39,0.76,BR,1662414668
322,Pedernales,18.0384,-71.744,82.65,79,100,0.65,DO,1662414668
323,Manzanillo,20.3433,-77.1167,86.9,63,85,9.69,CU,1662414669
324,Mezen',65.8522,44.24,44.17,89,100,9.01,RU,1662414669
325,Fare,-16.7,-151.0167,77.97,73,7,13.82,PF,1662414670
326,Mount Gambier,-37.8333,140.7667,42.98,85,100,5.32,AU,1662414670
327,Flin Flon,54.7682,-101.865,78.64,50,75,10.36,CA,1662414671
328,Carballo,43.213,-8.691,67.69,87,50,9.75,ES,1662414671
329,Sabzawār,36.2126,57.6819,76.28,18,0,9.22,IR,1662414671
330,Maniwaki,46.3834,-75.966,70.18,49,0,5.75,CA,1662414672
331,Civitavecchia,42.0933,11.7967,78.39,68,3,3.24,IT,1662414672
332,Payette,44.0782,-116.9338,95.99,19,0,3.44,US,1662414673
333,Nova Odessa,-22.7775,-47.2958,63.61,67,23,15.73,BR,1662414673
334,Ambulu,-8.345,113.6058,73.38,93,69,2.51,ID,1662414674
335,Buluang,13.3068,123.3425,77.7,92,100,3.62,PH,1662414674
336,Leningradskiy,69.3833,178.4167,32.83,99,100,6.93,RU,1662414674
337,Skellefteå,64.7507,20.9528,44.96,100,82,5.75,SE,1662414675
338,Brae,60.3964,-1.353,58.3,90,100,20.04,GB,1662414675
339,Ejura,7.3856,-1.3562,72.19,96,47,5.77,GH,1662414676
340,San Cristobal,7.7669,-72.225,82.58,71,41,6.02,VE,1662414676
341,Arona,28.0996,-16.681,67.03,80,20,13.8,ES,1662414677
342,Along,28.1667,94.7667,71.37,90,98,0.18,IN,1662414678
343,Sawtell,-30.3833,153.1,57.22,67,98,11.5,AU,1662414678
344,Bonnyville,54.2668,-110.735,55.2,36,100,7.72,CA,1662414574
345,Skjervøy,70.0311,20.9714,48.2,93,100,27.98,NO,1662414679
346,Rapid Valley,44.0625,-103.1463,97.43,19,0,8.99,US,1662414679
347,Vallenar,-28.5708,-70.7581,75.13,28,0,4.25,CL,1662414680
348,Sheridan,44.8333,-106.9173,97.18,14,0,3.44,US,1662414680
349,Bengkulu,-3.8004,102.2655,76.03,86,100,3.33,ID,1662414618
350,Houma,29.5958,-90.7195,86.0,81,94,4.0,US,1662414681
351,Puerto Quijarro,-17.7833,-57.7667,86.31,28,74,7.52,BO,1662414682
352,Atambua,-9.1061,124.8925,70.07,77,68,4.09,ID,1662414682
353,Durusu,41.3053,28.6767,70.84,69,0,21.0,TR,1662414683
354,Namie,37.4833,141.0,75.54,95,100,9.04,JP,1662414683
355,Vardø,70.3705,31.1107,44.58,93,75,16.11,NO,1662414684
356,Cartagena,10.3997,-75.5144,83.82,84,75,3.44,CO,1662414666
357,Saint Anthony,45.0205,-93.218,78.66,54,75,9.22,US,1662414684
358,Claresholm,50.0333,-113.5852,80.51,21,7,17.27,CA,1662414684
